Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Barbell Bicep Curl (Wide Grip);Biceps;null;Forearm;Strength;Isolation;Barbell;Beginner;The barbell wide grip standing biceps curl exercise is a wide grip version of the bicep curl that targets the lateral (outer) portion of the bicep muscle. Steps : 1.) Start by standing with your feet shoulder width apart, your knees slightly bent and your abs drawn in. 2.) Grab a barbell with an underhand (palms up) grip as wide as you comfortably can and extend your arms fully against your thighs. 3.) Keeping your elbows straight, raise the bar towards your chest till your forearms touch your chest, squeezing your bicep muscle. 4.) Pause for moment and then return to the starting position. 5.) Repeat for as many reps and sets as desired.
Barbell Bicep Drag Curl;Biceps;null;Forearm;Strength;Compound;Barbell , EZ Curl Bar;Intermediate;Steps : 1.) To begin this exercise: take a barbell with palms facing forward with the barbell resting at your pelvis. 2.) Then take the barbell and curl it towards your upper chest as in a way to “Drag” the bar up. 3.) Hold and squeeze the biceps tightly. 4.) Return the barbell back down to the starting position keeping the barbell in contact with your body. 5.) Repeat this exercise for as many repetitions as needed.
Barbell Bradford Rocky Press;Shoulders;Traps;Triceps;Strength;Compound;Barbell;Intermediate;Steps : 1.) To begin this exercise: start off sitting on a straight up military press bench with a weighted barbell rested on your upper chest. 2.) Keeping your palms facing out, push the barbell up in an overhead press above your head and hold for a few seconds. 3.) Then lower the bar down behind the back of your head and hold for a few seconds. 4.) Return back to the overhead position and then back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.
Barbell Bulgarian Split Squat;Upper Legs;Calves;Glutes;Strength;Compound;Barbell;Intermediate;The barbell single-leg squat exercise is an advanced exercise that works on strengthening the muscles in hip and leg while improving core strength and coordination. Steps : 1.) Start by placing a barbell on your back above your shoulders with a wide grip. 2.) Place one foot behind you resting it on a bench. 3.) Slowly lower down until you're about parallel to the floor with the involved leg. 4.) Slowly return to an upright position focusing on your hip and thigh. 5.) Switch legs and repeat for as many reps and sets as desired.
Barbell Calf Raise;Lower Legs;null;null;Strength;Isolation;Barbell;Beginner;Steps : 1.) Begin by setting up a barbell with the amount of weight that you would like to use for this exercise and rest the barbell across the top of your upper back. 2.) Slowly lean forward and raise your heels up off of the floor, pushing up as high as possible squeezing your calves at the top of the movement. 3.) Hold for a two count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Barbell Cambered Row (Prone);Back;Lats;Biceps;Strength;Isolation;Barbell;Beginner;Steps : 1.) Start by placing a cambered or EZ bar underneath an exercise bench, then lay face down grabbing the bar with a palms down grip. 2.) Slowly row the bar up towards your chest, keeping your elbows close to your body until you feel a tension on your lower back. 3.) Hold this position for a count then return back to the start. 4.) Repeat for as many reps and sets desired.
Barbell Clean;Upper Legs;Hamstrings;Shoulders , Lower Legs;Olympic Weight Lifting;Compound;Barbell;Expert;Steps : 1.) To begin this exercise: start off with a weighted barbell right in front of your shins with a overhand grip. 2.) Bend down at the knees with your back straight, chest out and head facing forward and pull up on the barbell with the driving force from your heels. 3.) Extend out through your knees and hips in a jumping motion to push the bar upward. 4.) Most of the force should be driven through the initial momentum from the legs and hips with a slight pull from your arms. 5.) When you are fully extended and upright, flex you arms with your elbows and pull yourself down allowing the barbell to roll up your forearms and rest on your palms and shoulder in a full squat position. 6.) Maintain a full squat position until you have full control of the barbell. 7.) Then push yourself up with your heels into an upright position keeping your back straight and chest out. 8.) Repeat this exercise for as many repetitions as needed
Barbell Clean and Jerk;Shoulders;Traps;Glutes , Abs;Olympic Weight Lifting;Compound;Barbell;Expert;Steps : 1.) To begin this exercise: start off with a weighted barbell in front of your feet and raise it slightly so that it is parallel with your shins. 2.) Lower your hips and bend your knees a bit while keeping your back straight so that the weight of the bar is rested upon your heels 3.) Pull up on the bar so that it reaches the mid-thigh position then perform a jumping movement, which you extend your knees and hips allowing the bar to move upward. 4.) Keep the bar pressed up and rested against your palms and shoulders. 5.) Then while in a full squat position push your torso upward thrusting with your hips, quads and heels keeping your knees bent slightly and straighten out your back. 6.) With the barbell pressed up overhead, spread your legs out with one leg stretched out a bit forward and the other pushed back slightly maintaining the clean press overhead. 7.) Hold onto this position for a few seconds. 8.) Return back to the starting position by letting the barbell roll down off of your shoulders and lightly bring it back down to the floor. 9.) Repeat this exercise for as many repetitions as needed
Barbell Clean Deadlift;Back;Hamstrings;Glutes , Upper Legs;Olympic Weight Lifting;Compound;Barbell;Intermediate;Steps : 1.) To begin this exercise: start off with a weighted barbell right in front of your shins with an overhand grip. 2.) Bend down at the knees with your back straight, chest up, head facing forward and pull up on the barbell with the driving force from your heels. 3.) As you lift the barbell up, keep your back straight and pull up. 4.) When the barbell crosses your knees, lift up with your torso until the bar has reached your hips and your knees are fully extended. 5.) Repeat this exercise for as many repetitions as needed
Barbell Clean From Blocks;Upper Legs;Hamstrings;Shoulders , Lower Legs;Olympic Weight Lifting;Compound;Barbell;Expert;Steps : 1.) To begin this exercise: start off with a weighted barbell rested on blocks right in front of your shins with a overhand grip. 2.) Bend down at the knees with your back straight, chest out, head facing forward and pull up on the barbell with the driving force from your heels. 3.) Extend out through your knees and hips in a jumping motion to push the bar upward. 4.) Most of the force should be driven through the initial momentum from the legs and hips with a slight pull from your arms. 5.) When you are full extended and upright, flex you arms with your elbows and pull yourself down allowing the barbell to roll up your forearms and rest on your palms and shoulder in a full squat position. 6.) Keep yourself in the full squat position until you have full control of the barbell. 7.) Then push yourself up with your heels into an upright position keeping your back straight and chest out. 8.) Repeat this exercise for as many repetitions as needed
